Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG
153,Koni De Winter,be BEL,Dif,Genoa,22-252,2002,14,13,1.179,13.1,3,0,3,3,0,0,5,0,1.6,1.6,0.2,1.8
154,Alessandro Deiola,it ITA,Cen,Cagliari,29-202,1995,19,10,915,10.2,0,1,1,0,0,0,3,0,0.7,0.7,0.6,1.2
155,Enrico Del Prato,it ITA,Dif,Parma,25-101,1999,22,20,1.867,20.7,4,0,4,4,0,0,5,0,1.9,1.9,0.8,2.7
156,Fisayo Dele-Bashiru,ng NGA,Cen.Att,Lazio,24-013,2001,15,8,670,7.4,3,0,3,3,0,0,0,0,0.9,0.9,0.3,1.2
157,Ali Dembélé,fr FRA,Dif,Torino,21-045,2004,9,1,115,1.3,0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.0
158,Michele Di Gregorio,it ITA,Por,Juventus,27-207,1997,20,20,1.800,20.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
159,Giovanni Di Lorenzo,it ITA,Dif,Napoli,31-199,1993,25,25,2.250,25.0,3,1,4,3,0,0,3,0,2.4,2.4,3.0,5.4
160,Boulaye Dia,sn SEN,Cen.Att,Lazio,28-095,1996,22,16,1.317,14.6,7,3,10,7,0,0,2,0,3.6,3.6,3.0,6.6
161,Assane Diao,es ESP,Att.Cen,Como,19-165,2005,7,6,585,6.5,4,0,4,4,0,0,2,0,1.6,1.6,0.2,1.8
162,Federico Dimarco,it ITA,Dif.Att,Inter,27-101,1997,22,21,1.545,17.2,3,4,7,3,0,0,2,0,2.4,2.4,4.4,6.7
163,Berat Djimsiti,al ALB,Dif,Atalanta,32-000,1993,22,20,1.652,18.4,1,1,2,1,0,0,4,0,2.1,2.1,0.8,2.9
164,Dodô,br BRA,Dif,Fiorentina,26-094,1998,24,24,2.136,23.7,0,2,2,0,0,0,6,0,0.8,0.8,2.6,3.4
165,Benjamín Domínguez,ar ARG,Att,Bologna,21-153,2003,12,11,806,9.0,3,1,4,3,0,0,0,0,1.6,1.6,0.3,2.0
166,Patrick Dorgu,dk DEN,Dif.Att,Lecce,20-116,2004,21,21,1.840,20.4,3,1,4,3,0,0,2,1,3.3,3.3,1.5,4.8
167,Alberto Dossena,it ITA,Dif,Como,26-129,1998,21,20,1.763,19.6,0,2,2,0,0,0,1,1,0.8,0.8,0.6,1.4
168,Issa Doumbia,ci CIV,Cen,Venezia,21-126,2003,12,6,513,5.7,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6
169,Anastasios Douvikas,gr GRE,Att,Como,25-201,1999,2,0,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
